song,performer,instance,chart_date,time_on_chart,song_length_ms,song_length_mins
On The Way Down,Ryan Cabrera,1.0,2005-01-01,27,213280,3.554666666666667
Wonderful,Ja Rule,1.0,2005-01-01,20,270506,4.5084333333333335
Some Cut,Trillville,1.0,2005-01-01,25,283386,4.7231
Some Beach,Blake Shelton,1.0,2005-01-01,20,204826,3.4137666666666666
"I Smoke, I Drank",Body Head Bangerz,1.0,2005-01-01,15,219768,3.6628
Disco Inferno,50 Cent,1.0,2005-01-01,29,214226,3.5704333333333333
So Cold,Breaking Benjamin,1.0,2005-01-01,20,273440,4.557333333333333
Somebody Told Me,The Killers,1.0,2005-01-01,20,197200,3.2866666666666666
Boulevard Of Broken Dreams,Green Day,1.0,2005-01-01,36,262333,4.372216666666667
My Happy Ending,Avril Lavigne,1.0,2005-01-01,25,242413,4.040216666666667
Daughters,John Mayer,1.0,2005-01-01,23,237906,3.9651
Since U Been Gone,Kelly Clarkson,1.0,2005-01-01,46,188960,3.1493333333333333
In A Real Love,Phil Vassar,1.0,2005-01-01,20,214826,3.580433333333333
Dare You To Move,Switchfoot,1.0,2005-01-01,20,247893,4.13155
Dangerously In Love,Beyonce,1.0,2005-01-01,20,293133,4.88555
American Idiot,Green Day,1.0,2005-01-01,20,176346,2.9391
Perdidos,Monchy,1.0,2005-01-01,7,269600,4.493333333333333
Party For Two,Shania Twain With Billy Currington Or Mark McGrath,1.0,2005-01-01,14,199200,3.32
I Don't Want To Be,Gavin DeGraw,1.0,2005-01-01,28,217760,3.6293333333333333
Drop It Like It's Hot,Snoop Dogg,1.0,2005-01-01,30,266066,4.434433333333334
Holy Water,Big,1.0,2005-01-01,7,256813,4.280216666666667
You're My Everything,Anita Baker,1.0,2005-01-01,20,303000,5.05
You're My Better Half,Keith Urban,1.0,2005-01-01,20,239400,3.99
Over And Over,Nelly,1.0,2005-01-01,24,253933,4.232216666666667
Nothin 'Bout Love Makes Sense,LeAnn Rimes,1.0,2005-01-01,19,177306,2.9551
How Am I Doin',Dierks Bentley,1.0,2005-01-01,16,228437,3.8072833333333334
Nolia Clap,Juvenile,1.0,2005-01-01,20,270333,4.50555
Nobody's Home,Avril Lavigne,1.0,2005-01-01,17,212413,3.540216666666667
The Woman With You,Kenny Chesney,1.0,2005-01-01,17,270000,4.5
How We Do,The Game,1.0,2005-01-01,28,235533,3.92555
New York,Ja Rule,1.0,2005-01-01,14,258213,4.30355
Hush,LL Cool J,1.0,2005-01-01,18,214560,3.576
I Changed My Mind,Keyshia Cole,1.0,2005-01-01,11,198680,3.3113333333333332
Oye Mi Canto,N.O.R.E.,1.0,2005-01-01,22,240973,4.016216666666667
Shorty Wanna Ride,Young Buck,1.0,2005-01-01,19,261320,4.355333333333333
You're The One,Guerilla Black,1.0,2005-01-01,11,218440,3.6406666666666667
My Boo,Usher And Alicia Keys,1.0,2005-01-01,26,223000,3.716666666666667
Just Lose It,Eminem,1.0,2005-01-01,19,248680,4.144666666666667
Back When,Tim McGraw,1.0,2005-01-01,19,269893,4.498216666666667
Vertigo,U2,1.0,2005-01-01,20,193520,3.2253333333333334
Monday Morning Church,Alan Jackson,1.0,2005-01-01,16,204466,3.407766666666667
Charlene,Anthony Hamilton,1.0,2005-01-01,22,246773,4.1128833333333334
Rich Girl,Gwen Stefani,1.0,2005-01-01,27,236213,3.9368833333333333
Balla Baby,Chingy,1.0,2005-01-01,18,215906,3.5984333333333334
Beautiful Soul,Jesse McCartney,1.0,2005-01-01,20,214226,3.5704333333333333
Bring Em Out,T.I.,1.0,2005-01-01,21,216706,3.6117666666666666
Real Big,Mannie Fresh,3.0,2005-01-01,12,228826,3.8137666666666665
Mockingbird,Eminem,1.0,2005-01-01,20,250760,4.179333333333333
U Make Me Wanna,Jadakiss,1.0,2005-01-01,13,293800,4.8966666666666665
Lose My Breath,Destiny's Child,1.0,2005-01-01,23,242013,4.03355
Broken,Seether,1.0,2005-01-01,21,258333,4.30555
Lovers And Friends,Lil Jon,1.0,2005-01-01,22,260600,4.343333333333334
Caught Up,Usher,1.0,2005-01-01,27,224640,3.744
Vitamin R (Leading Us Along),Chevelle,1.0,2005-01-01,12,223173,3.71955
Let's Go,Trick Daddy,1.0,2005-01-01,22,222200,3.703333333333333
Thugs Get Lonely Too,2Pac,2.0,2005-01-01,4,288080,4.801333333333333
Karma,Alicia Keys,1.0,2005-01-01,29,256000,4.266666666666667
Karma,Lloyd Banks,1.0,2005-01-01,20,278533,4.642216666666667
Mud On The Tires,Brad Paisley,1.0,2005-01-01,20,208266,3.4711
Knuck If You Buck,Crime Mob,1.0,2005-01-01,20,205120,3.4186666666666667
Mr. Mom,Lonestar,1.0,2005-01-01,20,208693,3.4782166666666665
Lady,Lenny Kravitz,1.0,2005-01-01,20,255573,4.25955
